title,original_title,date,duration,categories,countries,star_rating,notes,reviews,directors,actors,composers,summary,url_thumbnail,url_reviews,url_similar_movies
Smile,Smile,28 septembre 2022,1h 55min,"Epouvante-horreur,Thriller",U.S.A.,"3,1",3928,461,Parker Finn,"Sosie Bacon,Jessie T. Usher,Kyle Gallner,Robin Weigert,Caitlin Stasey,Kal Penn,Rob Morgan (IV),Judy Reyes,Gillian Zinser,Nick Arapoglou,Matthew Lamb",Cristobal Tapia de Veer,"Après avoir été témoin d'un incident traumatisant impliquant l’une de ses patientes, la vie de la psychiatre Rose Cotter tourne au cauchemar. Terrassée par une force mystérieuse, R",https://fr.web.img6.acsta.net/c_310_420/pictures/22/09/29/08/42/5363876.jpg,https://www.allocine.fr/film/fichefilm-304967/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-304967/similaire/
Reste un peu,Reste un peu,16 novembre 2022,1h 33min,Comédie,France,"3,3",2092,417,Gad Elmaleh,"Gad Elmaleh,Régine Elmaleh,David Elmaleh,Judith Elmaleh,Pierre-Henry Salfati,Delphine Horvilleur,Catherine Thiercelin,Nicolas Port,Mehdi Djaadi,Rony Kramer,Roschdy Zem,Redouane Bougheraba,Frédéric Hazan,Frank Cicurel,Louis Duneton,Jérémie Dethelot",Ibrahim Maalouf,"Après trois années à vivre l’« American dream » Gad Elmaleh décide de rentrer en France. Sa famille et ses amis lui manquent. Du moins, c’est la réponse officielle pour justifier s",https://fr.web.img6.acsta.net/c_310_420/pictures/22/09/23/13/14/1527673.jpg,https://www.allocine.fr/film/fichefilm-305613/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-305613/similaire/
SISU - De l'Or et du Sang,Sisu,21 juin 2023,1h 31min,"Action,Guerre",Finlande,"3,2",2163,232,Jalmari Helander,"Jorma Tommila,Aksel Hennie,Jack Doolan,Onni Tommila,Mimosa Willamo,Arttu Kapulainen,Vincent Willestrand","Juri Seppä,Tuomas Wäinölä","Finlande, 1944. Dans la nature sauvage et hostile de la Laponie, alors occupée par les nazis, un ancien soldat découvre un gisement d’or.",https://fr.web.img6.acsta.net/c_310_420/pictures/23/04/27/11/02/2355439.jpg,https://www.allocine.fr/film/fichefilm-293633/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-293633/similaire/
Amsterdam,Amsterdam,1 novembre 2022,2h 14min,"Policier,Drame,Thriller",U.S.A.,"2,8",2753,254,David O. Russell,"Christian Bale,Margot Robbie,John David Washington,Alessandro Nivola,Andrea Riseborough,Anya Taylor-Joy,Chris Rock,Matthias Schoenaerts,Michael Shannon,Mike Myers,Taylor Swift,Timothy Olyphant,Zoe Saldana,Rami Malek,Robert De Niro,Mel Fair,Bonnie Hellman,Max Perlich,Ed Begley Jr.,Colleen Camp,Casey Biggs,Dey Young",Daniel Pemberton,L'histoire de trois amis proches qui se retrouvent au centre de l’une des intrigues parmi les plus secrètes et choquantes de l'histoire américaine.,https://fr.web.img4.acsta.net/c_310_420/pictures/22/09/08/15/15/3190406.jpg,https://www.allocine.fr/film/fichefilm-281087/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-281087/similaire/
Elvis,Elvis,22 juin 2022,2h 39min,"Biopic,Musical",U.S.A.,"4,1",10481,870,Baz Luhrmann,"Austin Butler,Tom Hanks,Olivia DeJonge,Helen Thomson,Richard Roxburgh,Kelvin Harrison Jr.,David Wenham,Alton Mason,Kodi Smit-McPhee,Luke Bracey,Gary Clark Jr.,Dacre Montgomery,Leon Ford,Natasha Bassett,Xavier Samuel,Josh McConville,Kate Mulvany,Nicholas Bell,Anthony Phelan,Natalie Bassingthwaighte,Andrea Moor",Elliott Wheeler,"La vie et l'œuvre musicale d'Elvis Presley à travers le prisme de ses rapports complexes avec son mystérieux manager, le colonel Tom Parker. Le film explorera leurs relations sur u",https://fr.web.img5.acsta.net/c_310_420/pictures/22/05/23/15/55/2558793.jpg,https://www.allocine.fr/film/fichefilm-228681/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-228681/similaire/
Les Banshees d'Inisherin,The Banshees Of Inisherin,28 décembre 2022,1h 54min,"Comédie,Drame","Irlande,U.S.A.","3,9",5555,430,Martin McDonagh,"Colin Farrell,Brendan Gleeson,Kerry Condon,Barry Keoghan,Gary Lydon,David Pearse,Pat Shortt,Sheila Flitton,Aaron Monaghan,Bríd Ní Neachtain",Carter Burwell,"Sur Inisherin - une île isolée au large de la côte ouest de l'Irlande - deux compères de toujours, Padraic et Colm, se retrouvent dans une impasse lorsque Colm décide du jour au le",https://fr.web.img5.acsta.net/c_310_420/pictures/22/11/21/09/41/4024615.jpg,https://www.allocine.fr/film/fichefilm-281293/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-281293/similaire/
Jack Mimoun et les secrets de Val Verde,Jack Mimoun et les secrets de Val Verde,12 octobre 2022,1h 42min,"Aventure,Comédie",France,"2,6",3179,383,"Malik Bentalha,Ludovic Colbeau-Justin","Malik Bentalha,Joséphine Japy,Jérôme Commandeur,François Damiens,Benoît Magimel,Amir Llyas,Christopher Gerber,Xavier d'Anjou,Eddy Leduc,Niels Dubost,JR",Mathieu Lamboley,"Deux ans après avoir survécu seul sur l’île hostile de Val Verde, Jack Mimoun est devenu une star de l’aventure. Le livre racontant son expérience est un best-seller et son émissio",https://fr.web.img3.acsta.net/c_310_420/pictures/22/07/08/09/40/3604583.jpg,https://www.allocine.fr/film/fichefilm-271293/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-271293/similaire/
Annie Colère,Annie Colère,30 novembre 2022,2h 00min,Comédie dramatique,France,"4,0",2067,163,Blandine Lenoir,"Laure Calamy,Zita Hanrot,India Hair,Rosemary Standley,Damien Chapelle,Yannick Choirat,Florence Muller,Cédric Appietto,Lucia Sanchez (II),Pauline Serieys,Louise Labeque,Eric Caravaca,Pascale Arbillot,Christelle Cornil,Leny Morand,Caroline Piette,Sara Verhagen,Clément Bresson,Léo Dussollier,Oscar Lesage,Nicolas Chupin",Bertrand Belin,"Février 1974. Parce qu’elle se retrouve enceinte accidentellement, Annie, ouvrière et mère de deux enfants, rencontre le MLAC – Mouvement pour la Liberté de l’Avortement et de la C",https://fr.web.img6.acsta.net/c_310_420/pictures/22/10/27/10/05/1362095.jpg,https://www.allocine.fr/film/fichefilm-280229/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-280229/similaire/
Divertimento,Divertimento,25 janvier 2023,1h 55min,"Biopic,Drame",France,"4,0",1607,216,Marie-Castille Mention-Schaar,"Oulaya Amamra,Lina El Arabi,Niels Arestrup,Zinedine Soualem,Nadia Kaci,Laurent Cirade,Salomé Desnoues,Aurélien Carbou,Laurence Pierre,Lionel Cecilio,Ariane Ascaride,Amine Lansari",,"À 17 ans, Zahia Ziouani rêve de devenir cheffe d’orchestre. Sa sœur jumelle, Fettouma, violoncelliste professionnelle. Bercées depuis leur plus tendre enfance par la musique sympho",https://fr.web.img6.acsta.net/c_310_420/pictures/22/12/27/15/40/1783965.jpg,https://www.allocine.fr/film/fichefilm-292559/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-292559/similaire/
Nos cœurs meurtris,Purple Hearts,29 juillet 2022,2h 02min,"Drame,Romance",U.S.A.,"3,9",1705,115,Elizabeth Allen Rosenbaum,"Nicholas Galitzine,Sofia Carson,Chosen Jacobs,John Harlan Kim,Kat Cunning,Linden Ashby,Scott Deckert,Anthony Ippolito,Loren Escandon,Sarah Rich,Nicholas Duvernay,Asante Jones,A.J. Tannen,Kaitlin Huwe",,"Malgré leurs différences et contre toute attente, une compositrice-interprète en herbe et un Marine tombent éperdument amoureux.",https://fr.web.img5.acsta.net/c_310_420/pictures/22/07/01/12/04/2195108.jpg,https://www.allocine.fr/film/fichefilm-295206/critiques/spectateurs/,https://www.allocine.fr/film/fichefilm-295206/similaire/
